,movie,genre,age_limit,language,movie_link,showtime,date,cinema,place,rating,cinema_place,latitude,longitude,adult,id,original_title,popularity,video,overview
741,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
742,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
743,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
744,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
745,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
746,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
747,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
748,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
749,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
750,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
751,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
752,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
753,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
754,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,16:50,2021-09-24,Kosmos,Zürich,4.3,Kosmos Zürich,47.3799807,8.5290807,False,438631.0,Dune,333.583,False,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
755,Life of Ivanna,,none,O/gf,https://www.cineman.ch/en/showtimes/cinema/arthouse-piccadilly-zurich/353/,16:00,2021-09-24,Arthouse Piccadilly,Zürich,,Arthouse Piccadilly Zürich,47.365993,8.5489046,,,,,,
756,Monte Verità,Drama,14Y.,G/e,https://www.cineman.ch/en/movie/2021/MonteVerita/,16:00,2021-09-24,Houdini,Zürich,3.7,Houdini Zürich,47.3746074,8.5203069,False,846862.0,Monte Verità,0.6,False,"Hanna Leitner, wants to escape the bourgeois corset and her husband Anton, who sexually harasses her. She goes into therapy with Otto Gross and follows him to Monte Verità, where she discovers the fascination of photography."
757,Monte Verità,Drama,14Y.,G/e,https://www.cineman.ch/en/movie/2021/MonteVerita/,16:00,2021-09-24,Houdini,Zürich,3.7,Houdini Zürich,47.3746074,8.5203069,False,846862.0,Monte Verità,0.6,False,"Hanna Leitner, wants to escape the bourgeois corset and her husband Anton, who sexually harasses her. She goes into therapy with Otto Gross and follows him to Monte Verità, where she discovers the fascination of photography."
758,Monte Verità,Drama,14Y.,G/e,https://www.cineman.ch/en/movie/2021/MonteVerita/,16:00,2021-09-24,Houdini,Zürich,3.7,Houdini Zürich,47.3746074,8.5203069,False,846862.0,Monte Verità,0.6,False,"Hanna Leitner, wants to escape the bourgeois corset and her husband Anton, who sexually harasses her. She goes into therapy with Otto Gross and follows him to Monte Verità, where she discovers the fascination of photography."
759,Monte Verità,Drama,14Y.,G/e,https://www.cineman.ch/en/movie/2021/MonteVerita/,16:00,2021-09-24,Houdini,Zürich,3.7,Houdini Zürich,47.3746074,8.5203069,False,846862.0,Monte Verità,0.6,False,"Hanna Leitner, wants to escape the bourgeois corset and her husband Anton, who sexually harasses her. She goes into therapy with Otto Gross and follows him to Monte Verità, where she discovers the fascination of photography."
760,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,16:00,2021-09-24,Arthouse Piccadilly,Zürich,4.1,Arthouse Piccadilly Zürich,47.365993,8.5489046,False,391409.0,The Father,0.6,False,An animated story from Sticky Monster Lab that simultaneously tells two stories - that of the father and that of the son.
761,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,16:00,2021-09-24,Arthouse Piccadilly,Zürich,4.1,Arthouse Piccadilly Zürich,47.365993,8.5489046,False,391409.0,The Father,0.6,False,An animated story from Sticky Monster Lab that simultaneously tells two stories - that of the father and that of the son.
762,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,16:00,2021-09-24,Arthouse Piccadilly,Zürich,4.1,Arthouse Piccadilly Zürich,47.365993,8.5489046,False,391409.0,The Father,0.6,False,An animated story from Sticky Monster Lab that simultaneously tells two stories - that of the father and that of the son.
763,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,16:00,2021-09-24,Arthouse Piccadilly,Zürich,4.1,Arthouse Piccadilly Zürich,47.365993,8.5489046,False,391409.0,The Father,0.6,False,An animated story from Sticky Monster Lab that simultaneously tells two stories - that of the father and that of the son.
764,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,16:00,2021-09-24,Arthouse Piccadilly,Zürich,4.1,Arthouse Piccadilly Zürich,47.365993,8.5489046,False,391409.0,The Father,0.6,False,An animated story from Sticky Monster Lab that simultaneously tells two stories - that of the father and that of the son.
765,The Father,Drama,14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/TheFather/,16:00,2021-09-24,Arthouse Piccadilly,Zürich,4.1,Arthouse Piccadilly Zürich,47.365993,8.5489046,False,600354.0,The Father,31.386,False,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
