,movie,genre,age_limit,language,movie_link,showtime,date,cinema,place,rating,cinema_place,latitude,longitude
16,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,https://www.cineman.ch/en/movie/2020/NoTimeToDie/,19:30,2021-10-10,blue Cinema Corso,Zürich,3.9,blue Cinema Corso Zürich,47.3663426,8.546733999999999
17,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,https://www.cineman.ch/en/movie/2020/NoTimeToDie/,19:45,2021-10-10,Arena Cinemas,Zürich,3.9,Arena Cinemas Zürich,47.3584599,8.5229214
18,Monte Verità,Drama,14Y.,G,https://www.cineman.ch/en/movie/2021/MonteVerita/,19:50,2021-10-10,Arthouse Movie,Zürich,3.4,Arthouse Movie Zürich,47.3707036,8.5437007
19,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,20:00,2021-10-10,blue Cinema Capitol,Zürich,4.5,blue Cinema Capitol Zürich,47.3778376,8.5441343
20,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,20:00,2021-10-10,blue Cinema Abaton,Zürich,4.5,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
21,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,20:30,2021-10-10,blue Cinema Abaton,Zürich,4.5,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
22,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,G,https://www.cineman.ch/en/movie/2020/Dune/,20:30,2021-10-10,blue Cinema Abaton,Zürich,4.5,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
23,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,20:15,2021-10-10,blue Cinema Corso,Zürich,4.5,blue Cinema Corso Zürich,47.3663426,8.546733999999999
24,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,20:30,2021-10-10,Kosmos,Zürich,4.5,Kosmos Zürich,47.3799807,8.5290807
25,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,20:30,2021-10-10,Arena Cinemas,Zürich,4.5,Arena Cinemas Zürich,47.3584599,8.5229214
26,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,G,https://www.cineman.ch/en/movie/2020/Dune/,20:30,2021-10-10,Arena Cinemas,Zürich,4.5,Arena Cinemas Zürich,47.3584599,8.5229214
27,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,https://www.cineman.ch/en/movie/2020/Dune/,20:40,2021-10-10,Houdini,Zürich,4.5,Houdini Zürich,47.3746074,8.5203069
