,movie,genre,cinema,place,movie_link,showtime,age_limit,language,rating
34,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",blue Cinema Corso,Zürich,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,14:00,12Y.,E/gf,4.0
35,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",blue Cinema Metropol,Zürich,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,14:00,12Y.,E/gf,4.0
36,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",blue Cinema Abaton,Zürich,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,14:15,12Y.,G,4.0
37,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",blue Cinema Abaton,Zürich,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,14:15,12Y.,E/gf,4.0
38,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",blue Cinema Capitol,Zürich,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,14:30,12Y.,E/gf,4.0
39,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,14:30,12Y.,E/gf,4.0
40,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2021/ShangChiAndTheLegendOfTheTenRings/,14:30,12Y.,G,4.0
41,Tom & Jerry,"Adventure, Animation, Children, Comedy",blue Cinema Corso,Zürich,https://www.cineman.ch/en/movie/2021/TomJerry/,14:00,8/6Y.,G,2.6
42,Tom & Jerry,"Adventure, Animation, Children, Comedy",Stüssihof,Zürich,https://www.cineman.ch/en/movie/2021/TomJerry/,14:00,8/6Y.,G,2.6
43,Tom & Jerry,"Adventure, Animation, Children, Comedy",blue Cinema Abaton,Zürich,https://www.cineman.ch/en/movie/2021/TomJerry/,14:15,8/6Y.,G,2.6
44,Tom & Jerry,"Adventure, Animation, Children, Comedy",blue Cinema Abaton,Zürich,https://www.cineman.ch/en/movie/2021/TomJerry/,14:30,8/6Y.,G,2.6
45,Tom & Jerry,"Adventure, Animation, Children, Comedy",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2021/TomJerry/,14:30,8/6Y.,G,2.6
46,Vic the Viking and the Magic Sword,Animation,blue Cinema Capitol,Zürich,https://www.cineman.ch/en/movie/2019/VicTheVikingAndTheMagicSword/,14:00,6Y.,G,2.0
47,Vic the Viking and the Magic Sword,Animation,blue Cinema Abaton,Zürich,https://www.cineman.ch/en/movie/2019/VicTheVikingAndTheMagicSword/,14:30,6Y.,G,2.0
48,Dune,"Action, Adventure, Drama, Sci-fi",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2020/Dune/,14:10,14/12Y.,G,4.3
49,Dune,"Action, Adventure, Drama, Sci-fi",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2020/Dune/,14:20,14/12Y.,E/gf,4.3
50,Dune,"Action, Adventure, Drama, Sci-fi",blue Cinema Metropol,Zürich,https://www.cineman.ch/en/movie/2020/Dune/,14:30,14/12Y.,E/gf,4.3
51,Raya and the Last Dragon,"Action, Adventure, Animation",Houdini,Zürich,https://www.cineman.ch/en/movie/2020/RayaAndTheLastDragon/,14:10,6Y.,G,3.9
52,"Wanda, mein Wunder","Comedy, Drama",Arthouse Movie,Zürich,https://www.cineman.ch/en/movie/2019/WandaMeinWunder/,14:10,14/12Y.,O/g,3.4
53,Peter Rabbit 2: The Runaway,"Animation, Children",blue Cinema Abaton,Zürich,https://www.cineman.ch/en/movie/2020/PeterRabbit2/,14:15,10/6Y.,G,3.3
54,Shaun the Sheep Movie,"Adventure, Animation, Children, Comedy",Xenix,Zürich,https://www.cineman.ch/en/movie/2015/ShaunTheSheepTheMovie/,14:15,6/0Y.,G,4.1
55,Space Jam: A New Legacy,"Animation, Comedy",blue Cinema Abaton,Zürich,https://www.cineman.ch/en/movie/2021/SpaceJam2/,14:15,10/8Y.,G,3.7
56,Space Jam: A New Legacy,"Animation, Comedy",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2021/SpaceJam2/,14:20,10/8Y.,G,3.7
57,Siriri,Documentary,Arthouse Piccadilly,Zürich,https://www.cineman.ch/en/movie/2021/Siriri/,14:20,16Y.,O/g,5.0
58,Mila,"Comedy, Drama",Riffraff,Zürich,https://www.cineman.ch/en/movie/2020/Mila/,14:30,16Y.,O/g,2.5
59,The Croods 2,"Adventure, Animation, Children, Comedy, Fantasy",blue Cinema Abaton,Zürich,https://www.cineman.ch/en/movie/2017/TheCroods2/,14:30,6Y.,G,3.9
60,Generation Beziehungsunfähig,Comedy,blue Cinema Capitol,Zürich,https://www.cineman.ch/en/movie/2021/GenerationBeziehungsunfaehig/,14:30,12Y.,G,2.3
61,"Hilfe, ich habe meine Freunde geschrumpft",Children,blue Cinema Capitol,Zürich,https://www.cineman.ch/en/movie/2020/HilfeIchHabeMeineFreundeGeschrumpft/,14:30,6Y.,G,5.0
62,After We Fell,Romance,blue Cinema Abaton,Zürich,https://www.cineman.ch/en/movie/2021/AfterWeFell/,14:45,14Y.,G,3.2
63,Free Guy,"Action, Adventure, Comedy, Sci-fi",blue Cinema Abaton,Zürich,https://www.cineman.ch/en/movie/2020/FreeGuy/,14:45,14/12Y.,G,3.6
64,Chungking Express,,Arthouse Uto,Zürich,https://www.cineman.ch/en/showtimes/cinema/arthouse-uto-zurich/335/,15:00,16Y.,O/g,
65,El verdugo,,Filmpodium,Zürich,https://www.cineman.ch/en/showtimes/cinema/filmpodium-zurich/421/,15:00,S/pg,S/pg,
66,Monte Verità,Drama,Arthouse Le Paris,Zürich,https://www.cineman.ch/en/movie/2021/MonteVerita/,15:00,14Y.,G,3.7
67,Monte Verità,Drama,Houdini,Zürich,https://www.cineman.ch/en/movie/2021/MonteVerita/,15:50,14Y.,G/e,3.7
68,Paw Patrol: The Movie,"Animation, Children",Stüssihof,Zürich,https://www.cineman.ch/en/movie/2021/PAWPatrol/,15:00,6Y.,G,3.9
69,Paw Patrol: The Movie,"Animation, Children",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2021/PAWPatrol/,15:40,6Y.,G,3.9
70,The Green Knight,"Drama, Fantasy, Romance",Kosmos,Zürich,https://www.cineman.ch/en/movie/2020/TheGreenKnight/,15:00,Reservation,E/gf,2.7
71,Tom & Jerry,"Adventure, Animation, Children, Comedy",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2021/TomJerry/,15:25,8/6Y.,G,2.6
72,Bigfoot Superstar,Animation,Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2019/BigfootSuperstar/,15:30,8Y.,G,1.6
73,The Croods 2,"Adventure, Animation, Children, Comedy, Fantasy",Houdini,Zürich,https://www.cineman.ch/en/movie/2017/TheCroods2/,15:30,6Y.,G,3.9
74,Riders of Justice - Helden der Wahrscheinlichkeit,,Arthouse Alba,Zürich,https://www.cineman.ch/en/movie/2020/RidersofJustice/,15:30,16Y.,O/gf,3.3
75,Riders of Justice - Helden der Wahrscheinlichkeit,,Riffraff,Zürich,https://www.cineman.ch/en/movie/2020/RidersofJustice/,15:40,16Y.,O/gf,3.3
76,Free Guy,"Action, Adventure, Comedy, Sci-fi",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2020/FreeGuy/,15:35,14/12Y.,G,3.6
77,Druk,Drama,Kosmos,Zürich,https://www.cineman.ch/en/movie/2020/Druk/,15:40,Reservation,O/gf,4.2
78,The Father,Drama,Arthouse Piccadilly,Zürich,https://www.cineman.ch/en/movie/2020/TheFather/,15:40,14/12Y.,E/gf,4.4
79,Peter Rabbit 2: The Runaway,"Animation, Children",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2020/PeterRabbit2/,15:45,10/6Y.,G,3.3
80,Spirit Untamed,"Adventure, Animation, Children",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2021/SpiritUntamed/,15:45,6/3Y.,G,3.0
81,Bekenntnisse des Hochstaplers Felix Krull,Drama,Kosmos,Zürich,https://www.cineman.ch/en/movie/2020/BekenntnisseDesHochstaplersFelixKrull/,15:50,Reservation,G,3.7
82,Billie,"Documentary, Music",Houdini,Zürich,https://www.cineman.ch/en/movie/2019/Billie/,15:50,16/10Y.,E/g,4.7
83,La Nuit des rois,Drama,Riffraff,Zürich,https://www.cineman.ch/en/movie/2021/LaNuitDesRois/,15:50,16Y.,O/gf,2.5
84,Ostwind 5 - Der grosse Orkan,Children,Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2020/Ostwind5DerGrosseOrkan/,15:50,6Y.,G,3.9
85,Space Jam: A New Legacy,"Animation, Comedy",Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2021/SpaceJam2/,15:55,10/8Y.,E/gf,3.7
86,After We Fell,Romance,Arena Cinemas,Zürich,https://www.cineman.ch/en/movie/2021/AfterWeFell/,16:00,14Y.,G,3.2
