,movie,genre,age_limit,language,showtime,date,cinema,place,cinema_place,latitude,longitude
203,The French Dispatch,"Comedy, Drama, Romance",14/12Y.,E/gf,20:30,2021-10-23,Arthouse Le Paris,Zürich,Arthouse Le Paris Zürich,47.3664352,8.547469399999999
204,The French Dispatch,"Comedy, Drama, Romance",14/12Y.,E/gf,20:30,2021-10-23,blue Cinema Capitol,Zürich,blue Cinema Capitol Zürich,47.3778376,8.5441343
205,The French Dispatch,"Comedy, Drama, Romance",14/12Y.,E/gf,20:55,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
206,The Salvation,"Drama, Western",16Y.,E/g,20:30,2021-10-23,Xenix,Zürich,Xenix Zürich,47.37528529999999,8.5261529
207,Toma,"Drama, Music, History",16/14Y.,O/g,20:30,2021-10-23,Riffraff,Zürich,Riffraff Zürich,47.3827835,8.5290454
208,After We Fell,Romance,14Y.,G,20:40,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
209,Schachnovelle,Drama,12Y.,G,20:40,2021-10-23,Arthouse Movie,Zürich,Arthouse Movie Zürich,47.3707036,8.5437007
210,The Man Who Sold His Skin,Drama,16Y.,O/gf,20:40,2021-10-23,Arthouse Piccadilly,Zürich,Arthouse Piccadilly Zürich,47.365993,8.5489046
211,Titane,"Mystery, Thriller",16Y.,F/g,20:40,2021-10-23,Riffraff,Zürich,Riffraff Zürich,47.3827835,8.5290454
212,Halloween Kills,"Action, Horror, Thriller",18/16Y.,E/gf,20:45,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
213,Halloween Kills,"Action, Horror, Thriller",18/16Y.,G,20:45,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
214,Halloween Kills,"Action, Horror, Thriller",18/16Y.,G,20:45,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
215,Luci del varietà,,unknown,I/g,20:45,2021-10-23,Filmpodium,Zürich,Filmpodium Zürich,47.3715739,8.536824700000002
216,The Organ Donor,Horror,18Y.,G,20:45,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
217,"Es ist nur eine Phase, Hase",Comedy,10Y.,G,21:00,2021-10-23,Kosmos,Zürich,Kosmos Zürich,47.3799807,8.5290807
218,Escape Room 2: no way out,"Horror, Thriller",16Y.,G,21:00,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
219,Ghosts,Drama,16Y.,O/g,21:00,2021-10-23,Riffraff,Zürich,Riffraff Zürich,47.3827835,8.5290454
220,Hive,Drama,12Y.,O/ge,21:00,2021-10-23,Riffraff,Zürich,Riffraff Zürich,47.3827835,8.5290454
221,The Father,Drama,14/12Y.,E/gf,21:00,2021-10-23,Houdini,Zürich,Houdini Zürich,47.3746074,8.5203069
222,The French Dispatch,"Comedy, Drama, Romance",14/12Y.,E/gf,21:00,2021-10-23,Kosmos,Zürich,Kosmos Zürich,47.3799807,8.5290807
223,Venom: Let There Be Carnage,"Action, Sci-fi",14Y.,G,21:00,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
224,Venom: Let There Be Carnage,"Action, Sci-fi",14Y.,E/gf,21:00,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
225,Venom: Let There Be Carnage,"Action, Sci-fi",14Y.,G,21:00,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
226,Wild,Documentary,12Y.,O/g,21:00,2021-10-23,Houdini,Zürich,Houdini Zürich,47.3746074,8.5203069
227,Sin City: A Dame to Kill For,"Action, Crime, Thriller",16Y.,E/g,22:30,2021-10-23,Xenix,Zürich,Xenix Zürich,47.37528529999999,8.5261529
228,Titane,"Mystery, Thriller",16Y.,F/g,22:50,2021-10-23,Riffraff,Zürich,Riffraff Zürich,47.3827835,8.5290454
229,Toma,"Drama, Music, History",16/14Y.,O/g,22:50,2021-10-23,Riffraff,Zürich,Riffraff Zürich,47.3827835,8.5290454
230,La Nuit des rois,Drama,16Y.,O/gf,23:00,2021-10-23,Riffraff,Zürich,Riffraff Zürich,47.3827835,8.5290454
231,Nuevo orden,Drama,16Y.,S/pgf,23:20,2021-10-23,Riffraff,Zürich,Riffraff Zürich,47.3827835,8.5290454
