,movie,genre,age_limit,language,showtime,date,cinema,place,dt_showtime,cinema_place,latitude,longitude
217,Aline,"Comedy, Drama, Music",10/8Y.,G,20:50,2021-12-23,Arena Cinemas,Zürich,2021-12-23 20:50:00,Arena Cinemas Zürich,47.3584227,8.5226872
218,Rust and Bone,"Drama, Romance",unknown,F/g,20:15,2021-12-23,Xenix,Zürich,2021-12-23 20:15:00,Xenix Zürich,47.3752853,8.5261529
219,Don't Look Up,"Comedy, Drama, Sci-fi",16/14Y.,E/g,20:15,2021-12-23,blue Cinema Capitol,Zürich,2021-12-23 20:15:00,blue Cinema Capitol Zürich,47.3778376,8.5441343
220,Don't Look Up,"Comedy, Drama, Sci-fi",16/14Y.,E/g,20:40,2021-12-23,Kosmos,Zürich,2021-12-23 20:40:00,Kosmos Zürich,47.3799807,8.5290807
221,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,20:15,2021-12-23,blue Cinema Capitol,Zürich,2021-12-23 20:15:00,blue Cinema Capitol Zürich,47.3778376,8.5441343
222,West Side Story,"Crime, Drama, Music, Romance",12Y.,E/gf,20:15,2021-12-23,Kinocenter,Chur,2021-12-23 20:15:00,Kinocenter Chur,,
223,The Hand of God,Drama,14/12Y.,I/g,20:30,2021-12-23,Arthouse Piccadilly,Zürich,2021-12-23 20:30:00,Arthouse Piccadilly Zürich,47.365993,8.5489046
224,The Hand of God,Drama,14/12Y.,I/g,20:50,2021-12-23,Riffraff,Zürich,2021-12-23 20:50:00,Riffraff Zürich,47.3827835,8.5290454
225,Stürm: Bis wir tot sind oder frei,"Crime, Drama",14Y.,CH/g,20:30,2021-12-23,Arthouse Alba,Zürich,2021-12-23 20:30:00,Arthouse Alba Zürich,47.3761085,8.5446582
226,Stürm: Bis wir tot sind oder frei,"Crime, Drama",14Y.,O/e,20:30,2021-12-23,Riffraff,Zürich,2021-12-23 20:30:00,Riffraff Zürich,47.3827835,8.5290454
227,The French Dispatch,"Comedy, Drama, Romance",14/12Y.,E/gf,20:30,2021-12-23,Arthouse Uto,Zürich,2021-12-23 20:30:00,Arthouse Uto Zürich,47.3741858,8.5213039
228,The French Dispatch,"Comedy, Drama, Romance",14/12Y.,E/gf,20:50,2021-12-23,Kosmos,Zürich,2021-12-23 20:50:00,Kosmos Zürich,47.3799807,8.5290807
229,Madres paralelas,Drama,14/12Y.,S/pgf,20:40,2021-12-23,Arthouse Le Paris,Zürich,2021-12-23 20:40:00,Arthouse Le Paris Zürich,47.3664352,8.5474694
230,Madres paralelas,Drama,14/12Y.,S/pgf,20:40,2021-12-23,Houdini,Zürich,2021-12-23 20:40:00,Houdini Zürich,47.3746074,8.5203069
231,Un triomphe,"Comedy, Drama",12/8Y.,F/g,20:40,2021-12-23,Arthouse Movie,Zürich,2021-12-23 20:40:00,Arthouse Movie Zürich,47.3707036,8.5437007
232,Un triomphe,"Comedy, Drama",12/8Y.,F/g,20:50,2021-12-23,Houdini,Zürich,2021-12-23 20:50:00,Houdini Zürich,47.3746074,8.5203069
233,Nosferatu ? Phantom der Nacht,,14Y.,G/e,20:45,2021-12-23,Filmpodium,Zürich,2021-12-23 20:45:00,Filmpodium Zürich,47.3715739,8.5368247
234,Mollo tutto e apro un chiringuito,Comedy,16/12Y.,I,20:50,2021-12-23,Arena Cinemas,Zürich,2021-12-23 20:50:00,Arena Cinemas Zürich,47.3584227,8.5226872
235,The Power of the Dog,"Drama, Romance, Western",16Y.,E/g,20:50,2021-12-23,Kosmos,Zürich,2021-12-23 20:50:00,Kosmos Zürich,47.3799807,8.5290807
236,Contra,Comedy,12Y.,G,21:00,2021-12-23,Houdini,Zürich,2021-12-23 21:00:00,Houdini Zürich,47.3746074,8.5203069
237,Escape Room 2: no way out,"Horror, Thriller",16Y.,G,21:00,2021-12-23,Arena Cinemas,Zürich,2021-12-23 21:00:00,Arena Cinemas Zürich,47.3584227,8.5226872
238,Halloween Kills,"Action, Horror, Thriller",18/16Y.,G,21:00,2021-12-23,Arena Cinemas,Zürich,2021-12-23 21:00:00,Arena Cinemas Zürich,47.3584227,8.5226872
239,Madres paralelas,Drama,14/12Y.,S/pgf,21:00,2021-12-23,Riffraff,Zürich,2021-12-23 21:00:00,Riffraff Zürich,47.3827835,8.5290454
240,The Matrix Resurrections,"Action, Adventure, Sci-fi, Thriller",14Y.,G,21:00,2021-12-23,Arena Cinemas,Zürich,2021-12-23 21:00:00,Arena Cinemas Zürich,47.3584227,8.5226872
241,Spider-Man: No Way Home,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,G,21:00,2021-12-23,Kinocenter,Chur,2021-12-23 21:00:00,Kinocenter Chur,,
242,Spider-Man: No Way Home,"Action, Adventure, Fantasy, Sci-fi",14/12Y.,E/gf,21:00,2021-12-23,Arena Cinemas,Zürich,2021-12-23 21:00:00,Arena Cinemas Zürich,47.3584227,8.5226872
243,Venom: Let There Be Carnage,"Action, Sci-fi",14Y.,G,21:00,2021-12-23,Arena Cinemas,Zürich,2021-12-23 21:00:00,Arena Cinemas Zürich,47.3584227,8.5226872
244,Resident Evil: Welcome to Raccoon City,"Action, Horror, Mystery, Sci-fi",16Y.,G,21:10,2021-12-23,Arena Cinemas,Zürich,2021-12-23 21:10:00,Arena Cinemas Zürich,47.3584227,8.5226872
